v,vw,o,c,h,l,t,n
13248.407291,716.3097,716.2006,716.271,716.34,716.2006,1789146300000,320
13078.190815,716.3486,716.3,716.31,716.4062,716.26,1789146360000,343
99787.656392,716.5419,716.31,716.434,716.79,716.3,1789146420000,1446
9115.611334,716.5199,716.41,716.435,716.54,716.41,1789146480000,320
8877.529516,716.4552,716.39,716.49,716.51,716.34,1789146540000,308
30388.397352,716.4835,716.495,716.37,716.65,716.29,1789146600000,721
25725.349858,716.3351,716.355,716.31,716.44,716.25,1789146660000,597
27806.349768,716.4302,716.31,716.425,716.52,716.29,1789146720000,596
24737.80489,716.2947,716.36,716.23,716.4,716.17,1789146780000,553
14660.441309,716.1726,716.21,716.1101,716.25,716.09,1789146840000,340
11985.932471,716.2681,716.14,716.3199,716.3199,716.14,1789146900000,328
25086.443432,716.4606,716.33,716.53,716.53,716.26,1789146960000,427
32283.587131,716.5254,716.5321,716.665,716.68,716.495,1789147020000,533
29995.731435,716.6418,716.65,716.5619,716.66,716.5619,1789147080000,480
18479.063444,716.6234,716.56,716.625,716.74,716.52,1789147140000,399
34458.211379,716.7198,716.63,716.67,716.77,716.61,1789147200000,688
26414.008823,716.732,716.69,716.65,716.815,716.6201,1789147260000,546
13858.955835,716.7785,716.6501,716.77,716.77,716.65,1789147320000,393
160737.876132,716.4189,716.76,716.94,716.95,716.755,1789147380000,642
24979.96211,716.9647,716.92,717.03,717.045,716.88,1789147440000,621
29410.803974,717.0751,717.03,716.98,717.14,716.9641,1789147500000,708
25633.117783,716.9881,716.98,717.04,717.1,716.9132,1789147560000,500
12229.557659,717.0615,717.045,716.94,717.0669,716.94,1789147620000,426
34315.38809,716.8544,716.92,716.81,716.95,716.7701,1789147680000,519
67405.041662,716.5695,716.815,716.765,716.84,716.765,1789147740000,275
13355.952945,716.8768,716.77,716.865,716.92,716.71,1789147800000,446
8177.694272,717.0195,716.88,717.03,717.03,716.86,1789147860000,413
9145.299773,716.9917,717.07,716.8052,717.09,716.7821,1789147920000,449
8688.368653,716.8579,716.81,716.79,716.92,716.76,1789147980000,447
30232.876135,716.8076,716.8266,716.76,716.92,716.72,1789148040000,326
16916.173299,716.8189,716.76,716.76,716.885,716.73,1789148100000,397
23411.502087,716.8459,716.78,716.84,716.86,716.77,1789148160000,424
30881.993204,716.7822,716.84,716.84,716.9,716.82,1789148220000,460
22027.847062,716.7571,716.86,716.78,716.86,716.65,1789148280000,511
8888.058319,716.7427,716.78,716.7,716.8,716.65,1789148340000,298
15669.61721,716.8309,716.6801,716.86,716.89,716.66,1789148400000,347
18888.863059,716.722,716.8399,716.73,716.8399,716.6401,1789148460000,391
15017.910196,716.7895,716.71,716.745,716.8301,716.66,1789148520000,348
14539.92138,716.8957,716.77,716.8726,716.95,716.75,1789148580000,385
117556.807997,709.5685,716.86,716.76,716.8698,716.725,1789148640000,317
18062.784718,716.7912,716.76,716.76,716.8,716.7,1789148700000,538
153179.888034,711.2384,716.76,716.77,716.8,716.69,1789148760000,655
16503.810014,716.7851,716.76,716.76,716.78,716.67,1789148820000,359
65476.406956,716.8063,716.75,716.62,716.76,716.56,1789148880000,421
20305.148327,716.7516,716.62,716.82,716.89,716.62,1789148940000,619
122454.654754,709.861,716.84,716.79,716.88,716.79,1789149000000,372
27531.479035,716.8253,716.78,716.83,716.85,716.76,1789149060000,7751
13832.760691,716.8462,716.81,716.865,716.87,716.76,1789149120000,297
12322.531546,716.8663,716.87,716.86,716.88,716.7808,1789149180000,303
6734.36554,716.859,716.835,716.79,716.86,716.7515,1789149240000,250
14905.858405,716.8277,716.79,716.7824,716.82,716.73,1789149300000,405
12215.048805,716.7068,716.77,716.69,716.77,716.66,1789149360000,276
15633.74615,716.6727,716.67,716.56,716.69,716.56,1789149420000,330
47455.587895,716.5242,716.555,716.49,716.575,716.47,1789149480000,666
19309.535497,716.5088,716.5,716.51,716.531,716.43,1789149540000,369
18787.882594,716.5934,716.53,716.51,716.66,716.46,1789149600000,428
17308.329996,716.5268,716.54,716.57,716.5827,716.46,1789149660000,354
